TIPO;TEMPO;X;Y;KEYS;URL
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
